Number ,Case Name,Case Number ,Year of Initiation,Time , Claimant,Claimant-nationality,Representatives for Claimant,Arbitrator appointed by Claimant ,Respondent,Representatives for Respondent,Arbitrator appointed by Respondent,President of Tribunal,Instrument(s) Invoked,Arbitration Rule,Administrative Institution,Subject of Dispute,Status,Disputing Issues,official link,report,,,,,
1,Ekran Berhad v. China,ICSID Case No. ARB/11/15,2011,2011-2013,Ekran Berha ,Malaysia,"1. Liew Chie Chung, Sarawak, Malaysia
2. YU Yang, Beijing, China",/,China,"Director General, Treaty and Law Department, Beijing, China",/,/,"1. China-Israel BIT (1995) 
2. Malaysia - China BIT(1988)",ICSID Convention - Arbitration Rules,ICSID,Arts and culture facilities,settled,,,,,,,,
2,Ansung Housing v. China,ICSID Case No. ARB/14/25,2014,2014-2017,Ansung Housing Co. ,Korea,"1. Ansung Housing Co., Ltd., Seoul, Republic of Korea
2. Bae, Kim & Lee, Seoul, Republic of Korea",Michael C. PRYLES (Australian) ,China,"1. Dentons Europe, Paris, France
2. Ministry of Commerce, People’s Republic of China
3. Zhong Lun Law Firm, Beijing, People’s Republic of China",Albert Jan VAN DEN BERG (Dutch),Lucy REED (U.S.) ,China-Korea BIT (2007),ICSID Convention - Arbitration Rules,ICSID,property development project ,decided in favor of State ,,,,,,,,
3,Hela Schwarz GmbH v. China,ICSID Case No. ARB/17/19,2017,2017-present,Hela Schwarz GmbH ,German,"Wagner Arbitration, Berlin, Germany","Roland ZIADÉ (Ecuadoran, French, Lebanese) ",China,"1. Ministry of Commerce, People’s Republic of China
2. Shearman & Sterling, Beijing, People’s Republic of China
3. Global Law Office, Beijing, People’s Republic of China",Campbell Alan MCLACHLAN (New Zealand),Daniel BETHLEHEM (British),China-Germany BIT (2003),ICSID Convention - Arbitration Rules,ICSID,Spice products company,decided in favor of State ,,,,,,,,
4,"Surfeit Harvest Investment Holding Pte Ltd v. Taiwan, China",/,2017,2017-present,Surfeit Harvest Investment Holding Pte Ltd ,Singapore,KSCGP JURIS LLP,unclear,China    (Taiwan),unclear,unclear,unclear,"The Agreement between Singapore and the Separate Customs Territory of Taiwan, Penghu, Kinmen and Matsu on Economic Partnership (ASTEP) (2014)",UNCITRAL and/or Ad-Hoc,/,majority board representation,pending,,,,,,,,
5,Jason Yu Song v. China,PCA Case No.  2019-39,2019,2019-2025,Jason Yu Song ,UK,"Gary B. Born
Lester Ross
Rachael D. Kent
Jonathan Lim
Wilmer Cutler Pickering Hale and Dorr LLP"," Jan Paulsson (Sweden, France)",China,"1. Jiang Chenghua     Wang Yi
Sun Zhao
Shi Wei
Department of Treaty and Law 
Ministry of Commerce
People's Republic of China
2. Sun Huawei
Liu Chang
Teng Yuanfang
Zhang Tianshu
Lu Lian
Zhong Lun Law Firm",Jane Willems (France),"	
Tai-Heng Cheng (Singapore)",China-United Kingdom BIT (1986),unclear,PCA,unclear,decided in favor of investor,,,,,,,,
6,Macro Trading v. China,ICSID Case No. ARB/20/22,2020,2020-2021,Macro Trading Co. ,Japan,"1. S. Amemori, Fukuoka, Japan
2. C. Christian Jacobson, Fukuoka, Japan",Miriam SAPIRO (U.S.) ,China,"1. Ministry of Commerce, People’s Republic of China
2. King & Wood Mallesons, Beijing, People’s Republic of China and London, U.K.",Rolf KNIEPER (German) [Initial appointment -Peter TOMKA (Slovak)],Gabrielle KAUFMANN-KOHLER (Swiss) ,China-Japan BIT (1988),ICSID Convention - Arbitration Rules,ICSID,Real estate project,discontinued ,,,,,,,,
7,Goh Chin Soon v. China (1),ICSID Case No. ARB/20/34,2020,2020-2021,"Goh Chin Soon 
",Singapore,"
1. Peter & Kim, Geneva, Switzerland
2. Peter Low & Choo LLC, Singapore
3. Darius Chan, Singapore",Michael J. MOSER (Austrian) ,China,"1. Zhong Lun Law Firm, Beijing, China
2. Michael Sullivan QC, London, U.K.
3. Michael Kotrly, London, U.K.
4. Ministry of Commerce of the People’s Republic of China, Beijing, China",Zachary DOUGLAS (Australian) ,"
Lucy REED (U.S.)",China-Singapore BIT (1985),ICSID Convention - Arbitration Rules,ICSID,Real estate and development projects,discontinued ,,,,,,,,
8,AsiaPhos Limited v. China,ICSID Case No. ADM/21/1,2020,2020-2023,"AsiaPhos Limited, Norwest Chemicals Pte Ltd ",Singapore,"Dechert, Washington, D.C., U.S.A.","Alexandrov, Stanimir A (Bulgaria).",China,"Department of Treaty and Law, Ministry of Commerce, Beijing, China
Global Law Office, Beijing, China
","van den Berg, Albert Jan (Netherlands)",Klaus SACHS (German) ,China-Singapore BIT (1985),ICSID Convention - Arbitration Rules,ICSID,mining projects,decided in favor of State ,,,,,,,,
9,Goh Chin Soon v. China (2),PCA Case No. 2021-30,2021,2021-present,Goh Chin Soon ,Singapore,"1. Peter & Kim, Geneva, Switzerland
2. Peter Low & Choo LLC, Singapore
3. Darius Chan, Singapore",Michael J. MOSER (Austrian) ,China,"1. Zhong Lun Law Firm, Beijing, China
2. Michael Sullivan QC, London, U.K.
3. Michael Kotrly, London, U.K.
4. Ministry of Commerce of the People’s Republic of China, Beijing, China",Zachary DOUGLAS (Australian) ,Lucy REED (U.S.) ,China-Singapore BIT (1985),UNCITRAL and/or Ad-Hoc,PCA,Real estate and development projects,pending,,,,,,,,
10,Eygenio Montenero v. China,/,2021,2021-present,Eygenio Montenero ,Switzerland,Bottega Di Bella,unclear,China,unclear,unclear,unclear,China-Switzerland BIT (2009),UNCITRAL and/or Ad-Hoc,/,unclear,pending,,,,,,,,
